RTX 3080 Partition Camping (No L1/L2 Cache)
Data: 32 MB

Linear (no cache): 761.54 GB/s

Partition(MB) | Bandwidth(GB/s) | vs Linear | Status
33.50         | 747.00          | 0.98      | OK
33.75         | 746.64          | 0.98      | OK
34.00         | 747.10          | 0.98      | OK
34.25         | 747.27          | 0.98      | OK
34.50         | 746.76          | 0.98      | OK
34.75         | 746.37          | 0.98      | OK
35.00         | 747.96          | 0.98      | OK
35.25         | 746.82          | 0.98      | OK
35.50         | 746.65          | 0.98      | OK
35.75         | 747.45          | 0.98      | OK
36.00         | 746.48          | 0.98      | OK
36.25         | 746.76          | 0.98      | OK
36.50         | 747.62          | 0.98      | OK
36.75         | 746.46          | 0.98      | OK
37.00         | 746.65          | 0.98      | OK
37.25         | 746.76          | 0.98      | OK
37.50         | 746.59          | 0.98      | OK
37.75         | 746.93          | 0.98      | OK
38.00         | 747.45          | 0.98      | OK
38.25         | 746.66          | 0.98      | OK
38.50         | 746.99          | 0.98      | OK
38.75         | 747.14          | 0.98      | OK
39.00         | 747.27          | 0.98      | OK
39.25         | 746.76          | 0.98      | OK
39.50         | 746.76          | 0.98      | OK
39.75         | 746.62          | 0.98      | OK
40.00         | 747.42          | 0.98      | OK
40.25         | 747.84          | 0.98      | OK
40.50         | 747.10          | 0.98      | OK
40.75         | 746.59          | 0.98      | OK
41.00         | 747.45          | 0.98      | OK
41.25         | 747.48          | 0.98      | OK
41.50         | 746.66          | 0.98      | OK
41.75         | 746.97          | 0.98      | OK
42.00         | 746.76          | 0.98      | OK
42.25         | 746.76          | 0.98      | OK
42.50         | 747.10          | 0.98      | OK
42.75         | 746.59          | 0.98      | OK
43.00         | 746.99          | 0.98      | OK
43.25         | 747.28          | 0.98      | OK
43.50         | 747.50          | 0.98      | OK
43.75         | 747.62          | 0.98      | OK
44.00         | 747.27          | 0.98      | OK
44.25         | 747.47          | 0.98      | OK
44.50         | 746.42          | 0.98      | OK
44.75         | 746.93          | 0.98      | OK
45.00         | 747.06          | 0.98      | OK
45.25         | 746.47          | 0.98      | OK
45.50         | 746.94          | 0.98      | OK
45.75         | 747.45          | 0.98      | OK
46.00         | 746.56          | 0.98      | OK
46.25         | 747.27          | 0.98      | OK
46.50         | 747.48          | 0.98      | OK
46.75         | 746.28          | 0.98      | OK
47.00         | 746.99          | 0.98      | OK
47.25         | 747.30          | 0.98      | OK
47.50         | 747.10          | 0.98      | OK
47.75         | 746.93          | 0.98      | OK
48.00         | 746.60          | 0.98      | OK
48.25         | 747.31          | 0.98      | OK
48.50         | 746.93          | 0.98      | OK
48.75         | 747.45          | 0.98      | OK
49.00         | 746.97          | 0.98      | OK
49.25         | 747.27          | 0.98      | OK
49.50         | 746.76          | 0.98      | OK
49.75         | 747.62          | 0.98      | OK
50.00         | 746.79          | 0.98      | OK
50.25         | 746.42          | 0.98      | OK
50.50         | 746.93          | 0.98      | OK
50.75         | 746.76          | 0.98      | OK
51.00         | 746.93          | 0.98      | OK
51.25         | 746.93          | 0.98      | OK
51.50         | 747.62          | 0.98      | OK
51.75         | 747.09          | 0.98      | OK
52.00         | 746.94          | 0.98      | OK
52.25         | 747.29          | 0.98      | OK
52.50         | 747.10          | 0.98      | OK
52.75         | 746.27          | 0.98      | OK
53.00         | 747.04          | 0.98      | OK
53.25         | 746.47          | 0.98      | OK
53.50         | 747.12          | 0.98      | OK
53.75         | 746.75          | 0.98      | OK
54.00         | 747.62          | 0.98      | OK
54.25         | 746.76          | 0.98      | OK
54.50         | 746.93          | 0.98      | OK
54.75         | 746.95          | 0.98      | OK
55.00         | 746.78          | 0.98      | OK
55.25         | 746.93          | 0.98      | OK
55.50         | 746.93          | 0.98      | OK
55.75         | 746.76          | 0.98      | OK
56.00         | 746.93          | 0.98      | OK
